"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Gimcheon-si","Detached dwelling[Housing]","Housing","26830","26419","26485","26458","26399","26412","26423",
"Gimcheon-si","Apartment[Housing]","Housing","23001","25229","27595","27777","30670","30670","31111",
"Gimcheon-si","Row house[Housing]","Housing","1269","1279","1284","1283","1279","1279","1457",
"Gimcheon-si","Apartment unit ina private house[Housing]","Housing","970","1000","1007","1012","1056","1064","1049",
"Gimcheon-si","House within commercial building[Housing]","Housing","876","871","922","925","936","953","962",
"Gimcheon-si","Living quaters other than housing unit[Housing]","Housing","1233","1671","2106","2309","2400","2480","2595",
"Andong-si","Total population[Person]","Person","168581","167664","165704","162186","160344","159412","158064",
"Andong-si","Male[Person]","Person","83170","82775","81894","80331","79503","78996","78040",
"Andong-si","Female[Person]","Person","85411","84889","83810","81855","80841","80416","80024",
"Andong-si","Korean - total[Person]","Person","167081","166150","164012","160257","158260","157525","156201",
"Andong-si","Korean - male[Person]","Person","82488","82088","81043","79386","78505","78174","77240",
"Andong-si","Korean - Female[Person]","Person","84593","84062","82969","80871","79755","79351","78961",
"Andong-si","Foreigner-Total[Person]","Person","1500","1514","1692","1929","2084","1887","1863",
"Andong-si","Foreigner-Male[Person]","Person","682","687","851","945","998","822","800",
"Andong-si","Foreigner-Female[Person]","Person","818","827","841","984","1086","1065","1063",
"Andong-si","Household-Total[households]","households","68214","68662","68732","68486","68783","71424","72329",
"Andong-si","Type of occupancy[households]","households","67693","68192","68249","68050","68285","70934","71804",
"Andong-si","Institutional households[households]","households","82","60","63","64","67","73","71",
"Andong-si","Foreigner household[households]","households","439","410","420","372","431","417","454",
"Andong-si","Housing units-Total[Housing]","Housing","65729","65585","66721","67743","67940","69997","70143",
"Andong-si","Detached dwelling[Housing]","Housing","31708","31431","31495","31451","31345","31394","31202",
"Andong-si","Apartment[Housing]","Housing","30408","30407","31202","32242","32470","34487","34794",
"Andong-si","Row house[Housing]","Housing","1448","1448","1452","1454","1494","1476","1529",
"Andong-si","Apartment unit ina private house[Housing]","Housing","1016","1143","1305","1313","1316","1318","1305",
"Andong-si","House within commercial building[Housing]","Housing","1149","1156","1267","1283","1315","1322","1313",
"Andong-si","Living quaters other than housing unit[Housing]","Housing","1164","1324","1469","1721","1849","2021","2234",
"Gumi-si","Total population[Person]","Person","421075","422237","423003","422195","420319","416603","413963",
"Gumi-si","Male[Person]","Person","216825","217689","218610","218189","217387","214920","213736",
"Gumi-si","Female[Person]","Person","204250","204548","204393","204006","202932","201683","200227",
"Gumi-si","Korean - total[Person]","Person","414110","415437","416306","415387","413284","410007","407865",
"Gumi-si","Korean - male[Person]","Person","212692","213661","214675","214273","213409","211352","210519",
"Gumi-si","Korean - Female[Person]","Person","201418","201776","201631","201114","199875","198655","197346",
"Gumi-si","Foreigner-Total[Person]","Person","6965","6800","6697","6808","7035","6596","6098",
"Gumi-si","Foreigner-Male[Person]","Person","4133","4028","3935","3916","3978","3568","3217",
"Gumi-si","Foreigner-Female[Person]","Person","2832","2772","2762","2892","3057","3028","2881",
"Gumi-si","Household-Total[households]","households","159782","161996","164455","165375","166709","171496","176039",
"Gumi-si","Type of occupancy[households]","households","157705","159917","162429","163405","164752","169519","173937",
"Gumi-si","Institutional households[households]","households","190","105","154","148","135","112","122",
"Gumi-si","Foreigner household[households]","households","1887","1974","1872","1822","1822","1865","1980",
"Gumi-si","Housing units-Total[Housing]","Housing","130833","133737","142140","143992","149882","152076","152482",
"Gumi-si","Detached dwelling[Housing]","Housing","25276","25459","25527","25487","25413","25237","25183",
"Gumi-si","Apartment[Housing]","Housing","91959","93883","102100","103906","109851","112247","112778",
"Gumi-si","Row house[Housing]","Housing","2926","3640","3664","3703","3703","3707","3714",
"Gumi-si","Apartment unit ina private house[Housing]","Housing","8971","9081","9137","9173","9166","9128","9041",
"Gumi-si","House within commercial building[Housing]","Housing","1701","1674","1712","1723","1749","1757","1766",
"Gumi-si","Living quaters other than housing unit[Housing]","Housing","2825","3482","3453","3645","3577","3721","3872",
"Yeongju-si","Total population[Person]","Person","109266","108950","108443","107034","105235","103818","102414",
"Yeongju-si","Male[Person]","Person","54737","54801","54415","53582","52678","51865","50831",
"Yeongju-si","Female[Person]","Person","54529","54149","54028","53452","52557","51953","51583",
"Yeongju-si","Korean - total[Person]","Person","108327","107839","107198","105544","103667","102523","101202",
"Yeongju-si","Korean - male[Person]","Person","54321","54238","53777","52819","51897","51290","50309",
"Yeongju-si","Korean - Female[Person]","Person","54006","53601","53421","52725","51770","51233","50893",
"Yeongju-si","Foreigner-Total[Person]","Person","939","1111","1245","1490","1568","1295","1212",
"Yeongju-si","Foreigner-Male[Person]","Person","416","563","638","763","781","575","522",
"Yeongju-si","Foreigner-Female[Person]","Person","523","548","607","727","787","720","690",
"Yeongju-si","Household-Total[households]","households","43981","44881","45168","45020","44659","45970","45762",
"Yeongju-si","Type of occupancy[households]","households","43683","44582","44844","44681","44303","45636","45423",
"Yeongju-si","Institutional households[households]","households","57","42","48","47","47","54","49",
"Yeongju-si","Foreigner household[households]","households","241","257","276","292","309","280","290",
"Yeongju-si","Housing units-Total[Housing]","Housing","41043","42591","42516","42343","42282","42345","43261",
"Yeongju-si","Detached dwelling[Housing]","Housing","21488","21487","21235","21178","20936","20839","20907",
"Yeongju-si","Apartment[Housing]","Housing","15404","16884","17032","16933","17009","17146","17980",
"Yeongju-si","Row house[Housing]","Housing","1641","1658","1690","1643","1643","1643","1651",
"Yeongju-si","Apartment unit ina private house[Housing]","Housing","1406","1437","1410","1430","1502","1513","1512",
"Yeongju-si","House within commercial building[Housing]","Housing","1104","1125","1149","1159","1192","1204","1211",
"Yeongju-si","Living quaters other than housing unit[Housing]","Housing","1150","1127","1217","1303","1284","1345","1355",
"Yeongcheon-si","Total population[Person]","Person","97669","97295","97675","98686","100487","100353","99859",
"Yeongcheon-si","Male[Person]","Person","49573","49542","49918","50648","51762","51436","51049",
"Yeongcheon-si","Female[Person]","Person","48096","47753","47757","48038","48725","48917","48810",
"Yeongcheon-si","Korean - total[Person]","Person","94214","93645","93770","94235","95795","96225","96040",
"Yeongcheon-si","Korean - male[Person]","Person","47001","46772","47024","47432","48394","48569","48443",
"Yeongcheon-si","Korean - Female[Person]","Person","47213","46873","46746","46803","47401","47656","47597",
"Yeongcheon-si","Foreigner-Total[Person]","Person","3455","3650","3905","4451","4692","4128","3819",
"Yeongcheon-si","Foreigner-Male[Person]","Person","2572","2770","2894","3216","3368","2867","2606",
"Yeongcheon-si","Foreigner-Female[Person]","Person","883","880","1011","1235","1324","1261","1213",
"Yeongcheon-si","Household-Total[households]","households","41011","41716","42430","43121","44131","45647","46653",
"Yeongcheon-si","Type of occupancy[households]","households","40268","40947","41681","42328","43310","44842","45839",
"Yeongcheon-si","Institutional households[households]","households","63","60","68","69","73","82","77",
"Yeongcheon-si","Foreigner household[households]","households","680","709","681","724","748","723","737",
"Yeongcheon-si","Housing units-Total[Housing]","Housing","41748","41910","43180","43795","44453","45092","46215",
"Yeongcheon-si","Detached dwelling[Housing]","Housing","23121","23221","23201","23223","23023","22937","22847",
"Yeongcheon-si","Apartment[Housing]","Housing","15955","16038","17311","17907","18714","19431","20643",
"Yeongcheon-si","Row house[Housing]","Housing","892","892","892","892","934","934","934",
"Yeongcheon-si","Apartment unit ina private house[Housing]","Housing","1161","1161","1145","1145","1146","1146","1153",
"Yeongcheon-si","House within commercial building[Housing]","Housing","619","598","631","628","636","644","638",
"Yeongcheon-si","Living quaters other than housing unit[Housing]","Housing","1534","1633","1779","1937","2054","2179","2238",
"Sangju-si","Total population[Person]","Person","98760","99484","98189","97558","96641","95473","93722",
"Sangju-si","Male[Person]","Person","48392","49042","48296","48056","47669","47016","46229",
"Sangju-si","Female[Person]","Person","50368","50442","49893","49502","48972","48457","47493",
"Sangju-si","Korean - total[Person]","Person","97737","98377","97106","96291","95188","94167","92382",
"Sangju-si","Korean - male[Person]","Person","47910","48497","47811","47499","47013","46458","45672",
"Sangju-si","Korean - Female[Person]","Person","49827","49880","49295","48792","48175","47709","46710",
"Sangju-si","Foreigner-Total[Person]","Person","1023","1107","1083","1267","1453","1306","1340",
"Sangju-si","Foreigner-Male[Person]","Person","482","545","485","557","656","558","557",
"Sangju-si","Foreigner-Female[Person]","Person","541","562","598","710","797","748","783",
"Sangju-si","Household-Total[households]","households","41375","42342","42578","42639","42925","44043","43709",
"Sangju-si","Type of occupancy[households]","households","41036","41997","42274","42327","42579","43717","43339",
"Sangju-si","Institutional households[households]","households","71","45","49","51","55","59","56",
"Sangju-si","Foreigner household[households]","households","268","300","255","261","291","267","314",
"Sangju-si","Housing units-Total[Housing]","Housing","42219","42553","43149","43082","43058","43713","44590",
"Sangju-si","Detached dwelling[Housing]","Housing","29543","29338","29549","29452","29400","29569","29674",
"Sangju-si","Apartment[Housing]","Housing","10445","10971","11296","11297","11299","11775","12558",
"Sangju-si","Row house[Housing]","Housing","388","388","388","388","388","388","360",
"Sangju-si","Apartment unit ina private house[Housing]","Housing","1186","1184","1200","1216","1216","1216","1216",
"Sangju-si","House within commercial building[Housing]","Housing","657","672","716","729","755","765","782",
"Sangju-si","Living quaters other than housing unit[Housing]","Housing","1164","1165","1286","1410","1450","1556","1558",
"Mungyeong-si","Total population[Person]","Person","71863","71038","70016","68895","68542","68212","67669",
"Mungyeong-si","Male[Person]","Person","35180","34785","34275","33777","33614","33446","33175",
"Mungyeong-si","Female[Person]","Person","36683","36253","35741","35118","34928","34766","34494",
"Mungyeong-si","Korean - total[Person]","Person","71104","70216","69207","67961","67511","67250","66733",
"Mungyeong-si","Korean - male[Person]","Person","34824","34397","33908","33328","33128","33025","32743",
"Mungyeong-si","Korean - Female[Person]","Person","36280","35819","35299","34633","34383","34225","33990",
"Mungyeong-si","Foreigner-Total[Person]","Person","759","822","809","934","1031","962","936",
"Mungyeong-si","Foreigner-Male[Person]","Person","356","388","367","449","486","421","432",
"Mungyeong-si","Foreigner-Female[Person]","Person","403","434","442","485","545","541","504",
"Mungyeong-si","Household-Total[households]","households","30056","30095","30077","30114","30329","30839","31448",
"Mungyeong-si","Type of occupancy[households]","households","29808","29825","29841","29855","30068","30574","31154",
"Mungyeong-si","Institutional households[households]","households","58","35","43","42","35","46","44",
"Mungyeong-si","Foreigner household[households]","households","190","235","193","217","226","219","250",
"Mungyeong-si","Housing units-Total[Housing]","Housing","29161","29493","29857","30090","30233","30337","30376",
"Mungyeong-si","Detached dwelling[Housing]","Housing","19343","19527","19531","19564","19427","19514","19504",
"Mungyeong-si","Apartment[Housing]","Housing","6825","6848","7079","7112","7322","7323","7352",
"Mungyeong-si","Row house[Housing]","Housing","1195","1134","1158","1271","1304","1304","1304",
"Mungyeong-si","Apartment unit ina private house[Housing]","Housing","1103","1294","1364","1405","1416","1426","1429",
"Mungyeong-si","House within commercial building[Housing]","Housing","695","690","725","738","764","770","787",
"Mungyeong-si","Living quaters other than housing unit[Housing]","Housing","842","872","897","976","984","1012","1115",
"Gyeongsan-si","Total population[Person]","Person","278500","279751","282626","284517","290088","283733","293418",
"Gyeongsan-si","Male[Person]","Person","140493","141235","142697","143489","146429","143389","147723",
"Gyeongsan-si","Female[Person]","Person","138007","138516","139929","141028","143659","140344","145695",
"Gyeongsan-si","Korean - total[Person]","Person","270028","270398","272087","271525","274546","269639","279314",
"Gyeongsan-si","Korean - male[Person]","Person","135161","135514","136357","135754","137109","135063","139624",
"Gyeongsan-si","Korean - Female[Person]","Person","134867","134884","135730","135771","137437","134576","139690",
"Gyeongsan-si","Foreigner-Total[Person]","Person","8472","9353","10539","12992","15542","14094","14104",
"Gyeongsan-si","Foreigner-Male[Person]","Person","5332","5721","6340","7735","9320","8326","8099",
"Gyeongsan-si","Foreigner-Female[Person]","Person","3140","3632","4199","5257","6222","5768","6005",
"Gyeongsan-si","Household-Total[households]","households","108004","109077","111750","112730","116892","120756","127288",
"Gyeongsan-si","Type of occupancy[households]","households","105571","106396","108602","109175","112324","116127","122309",
"Gyeongsan-si","Institutional households[households]","households","97","73","80","81","95","94","108",
"Gyeongsan-si","Foreigner household[households]","households","2336","2608","3068","3474","4473","4535","4871",
"Gyeongsan-si","Housing units-Total[Housing]","Housing","85241","86957","90340","92790","94957","96711","100790",
"Gyeongsan-si","Detached dwelling[Housing]","Housing","22750","22867","22972","22890","22792","22730","22674",
"Gyeongsan-si","Apartment[Housing]","Housing","57623","59092","62203","64747","66993","68711","72853",
"Gyeongsan-si","Row house[Housing]","Housing","910","954","965","947","947","1019","1019",
"Gyeongsan-si","Apartment unit ina private house[Housing]","Housing","3097","3183","3251","3243","3239","3245","3249",
"Gyeongsan-si","House within commercial building[Housing]","Housing","861","861","949","963","986","1006","995",
"Gyeongsan-si","Living quaters other than housing unit[Housing]","Housing","2470","2708","2815","2833","2726","2779","2776",
"Gunwi-gun","Total population[Person]","Person","22012","22079","22230","22277","22206","22096","21285",
"Gunwi-gun","Male[Person]","Person","11000","11183","11309","11417","11434","11379","10929",
"Gunwi-gun","Female[Person]","Person","11012","10896","10921","10860","10772","10717","10356",
"Gunwi-gun","Korean - total[Person]","Person","21329","21374","21559","21569","21457","21426","20690",
"Gunwi-gun","Korean - male[Person]","Person","10499","10649","10805","10886","10888","10888","10493",
"Gunwi-gun","Korean - Female[Person]","Person","10830","10725","10754","10683","10569","10538","10197",
"Gunwi-gun","Foreigner-Total[Person]","Person","683","705","671","708","749","670","595",
"Gunwi-gun","Foreigner-Male[Person]","Person","501","534","504","531","546","491","436",
"Gunwi-gun","Foreigner-Female[Person]","Person","182","171","167","177","203","179","159",
"Gunwi-gun","Household-Total[households]","households","10176","10297","10537","10675","10680","10850","10915",
"Gunwi-gun","Type of occupancy[households]","households","10039","10166","10410","10565","10560","10726","10797",
"Gunwi-gun","Institutional households[households]","households","24","19","19","22","20","22","19",
"Gunwi-gun","Foreigner household[households]","households","113","112","108","88","100","102","99",
"Gunwi-gun","Housing units-Total[Housing]","Housing","10534","10650","10855","10936","10940","11043","11005",
"Gunwi-gun","Detached dwelling[Housing]","Housing","9461","9538","9675","9669","9654","9757","9709",
"Gunwi-gun","Apartment[Housing]","Housing","483","511","540","612","631","631","634",
"Gunwi-gun","Row house[Housing]","Housing","149","162","165","162","162","162","162",
"Gunwi-gun","Apartment unit ina private house[Housing]","Housing","306","306","313","328","332","332","332",
"Gunwi-gun","House within commercial building[Housing]","Housing","135","133","162","165","161","161","168",
"Gunwi-gun","Living quaters other than housing unit[Housing]","Housing","400","422","500","530","521","533","553",
"Uiseong-gun","Total population[Person]","Person","51021","50683","50082","49621","49477","49243","48021",
"Uiseong-gun","Male[Person]","Person","24577","24529","24203","24008","24114","24004","23299",
"Uiseong-gun","Female[Person]","Person","26444","26154","25879","25613","25363","25239","24722",
"Uiseong-gun","Korean - total[Person]","Person","50115","49759","49306","48797","48566","48442","47291",
"Uiseong-gun","Korean - male[Person]","Person","24019","23961","23769","23551","23601","23577","22922",
"Uiseong-gun","Korean - Female[Person]","Person","26096","25798","25537","25246","24965","24865","24369",
"Uiseong-gun","Foreigner-Total[Person]","Person","906","924","776","824","911","801","730",
"Uiseong-gun","Foreigner-Male[Person]","Person","558","568","434","457","513","427","377",
"Uiseong-gun","Foreigner-Female[Person]","Person","348","356","342","367","398","374","353",
"Uiseong-gun","Household-Total[households]","households","23873","23954","23882","23872","23969","24312","24437",
"Uiseong-gun","Type of occupancy[households]","households","23667","23733","23688","23679","23767","24119","24243",
"Uiseong-gun","Institutional households[households]","households","40","33","38","40","37","38","40",
"Uiseong-gun","Foreigner household[households]","households","166","188","156","153","165","155","154",
"Uiseong-gun","Housing units-Total[Housing]","Housing","26039","26045","26229","26230","26167","26136","26186",
"Uiseong-gun","Detached dwelling[Housing]","Housing","22782","22742","22808","22730","22547","22498","22497",
"Uiseong-gun","Apartment[Housing]","Housing","2074","2105","2119","2173","2173","2189","2189",
"Uiseong-gun","Row house[Housing]","Housing","286","286","305","313","341","341","371",
"Uiseong-gun","Apartment unit ina private house[Housing]","Housing","538","575","603","617","715","715","735",
"Uiseong-gun","House within commercial building[Housing]","Housing","359","337","394","397","391","393","394",
"Uiseong-gun","Living quaters other than housing unit[Housing]","Housing","535","550","580","659","699","772","780",
"Cheongsong-gun","Total population[Person]","Person","24732","24593","24441","24160","23958","23761","23288",
"Cheongsong-gun","Male[Person]","Person","12185","12121","12056","11985","11929","11817","11577",
"Cheongsong-gun","Female[Person]","Person","12547","12472","12385","12175","12029","11944","11711",
"Cheongsong-gun","Korean - total[Person]","Person","24402","24262","24155","23852","23634","23470","23005",
"Cheongsong-gun","Korean - male[Person]","Person","12029","11973","11957","11888","11832","11743","11491",
"Cheongsong-gun","Korean - Female[Person]","Person","12373","12289","12198","11964","11802","11727","11514",
"Cheongsong-gun","Foreigner-Total[Person]","Person","330","331","286","308","324","291","283",
"Cheongsong-gun","Foreigner-Male[Person]","Person","156","148","99","97","97","74","86",
"Cheongsong-gun","Foreigner-Female[Person]","Person","174","183","187","211","227","217","197",
"Cheongsong-gun","Household-Total[households]","households","11404","11485","11527","11589","11593","11797","11938",
"Cheongsong-gun","Type of occupancy[households]","households","11323","11401","11454","11518","11512","11723","11861",
"Cheongsong-gun","Institutional households[households]","households","15","13","13","13","14","16","16",
"Cheongsong-gun","Foreigner household[households]","households","66","71","60","58","67","58","61",
"Cheongsong-gun","Housing units-Total[Housing]","Housing","12184","12081","12244","12428","12366","12493","12542",
"Cheongsong-gun","Detached dwelling[Housing]","Housing","9962","9738","9859","9951","9877","9833","9856",
"Cheongsong-gun","Apartment[Housing]","Housing","1289","1373","1385","1474","1475","1603","1599",
"Cheongsong-gun","Row house[Housing]","Housing","165","165","165","165","181","181","181",
"Cheongsong-gun","Apartment unit ina private house[Housing]","Housing","531","563","563","563","562","599","624",
"Cheongsong-gun","House within commercial building[Housing]","Housing","237","242","272","275","271","277","282",
"Cheongsong-gun","Living quaters other than housing unit[Housing]","Housing","327","350","373","431","425","464","483",
"Yeongyang-gun","Total population[Person]","Person","16781","16755","16579","16559","16146","15743","15558",
"Yeongyang-gun","Male[Person]","Person","8069","8064","7980","7992","7832","7703","7682",
"Yeongyang-gun","Female[Person]","Person","8712","8691","8599","8567","8314","8040","7876",
"Yeongyang-gun","Korean - total[Person]","Person","16551","16519","16336","16268","15839","15455","15203",
"Yeongyang-gun","Korean - male[Person]","Person","7992","7990","7914","7917","7754","7642","7573",
"Yeongyang-gun","Korean - Female[Person]","Person","8559","8529","8422","8351","8085","7813","7630",
"Yeongyang-gun","Foreigner-Total[Person]","Person","230","236","243","291","307","288","355",
"Yeongyang-gun","Foreigner-Male[Person]","Person","77","74","66","75","78","61","109",
"Yeongyang-gun","Foreigner-Female[Person]","Person","153","162","177","216","229","227","246",
"Yeongyang-gun","Household-Total[households]","households","7650","7631","7642","7665","7609","7725","7821",
"Yeongyang-gun","Type of occupancy[households]","households","7578","7559","7565","7585","7539","7661","7723",
"Yeongyang-gun","Institutional households[households]","households","9","9","11","9","8","6","7",
"Yeongyang-gun","Foreigner household[households]","households","63","63","66","71","62","58","91",
"Yeongyang-gun","Housing units-Total[Housing]","Housing","8145","8111","8201","8209","8183","8197","8209",
"Yeongyang-gun","Detached dwelling[Housing]","Housing","7220","7095","7175","7158","7092","7105","7104",
"Yeongyang-gun","Apartment[Housing]","Housing","325","342","342","342","359","356","356",
"Yeongyang-gun","Row house[Housing]","Housing","130","146","146","146","146","146","160",
"Yeongyang-gun","Apartment unit ina private house[Housing]","Housing","371","434","434","457","481","481","481",
"Yeongyang-gun","House within commercial building[Housing]","Housing","99","94","104","106","105","109","108",
"Yeongyang-gun","Living quaters other than housing unit[Housing]","Housing","168","172","188","206","192","213","226",
"Yeongdeok-gun","Total population[Person]","Person","36539","36765","36148","36096","35672","34893","33927",
"Yeongdeok-gun","Male[Person]","Person","17416","17773","17427","17444","17342","16886","16428",
"Yeongdeok-gun","Female[Person]","Person","19123","18992","18721","18652","18330","18007","17499",
"Yeongdeok-gun","Korean - total[Person]","Person","35675","35686","35079","34791","34264","33612","32671",
"Yeongdeok-gun","Korean - male[Person]","Person","16807","16946","16623","16469","16282","15909","15469",
"Yeongdeok-gun","Korean - Female[Person]","Person","18868","18740","18456","18322","17982","17703","17202",
"Yeongdeok-gun","Foreigner-Total[Person]","Person","864","1079","1069","1305","1408","1281","1256",
"Yeongdeok-gun","Foreigner-Male[Person]","Person","609","827","804","975","1060","977","959",
"Yeongdeok-gun","Foreigner-Female[Person]","Person","255","252","265","330","348","304","297",
"Yeongdeok-gun","Household-Total[households]","households","17051","17344","17244","17261","17164","17206","17195",
"Yeongdeok-gun","Type of occupancy[households]","households","16819","17096","17015","17027","16918","16969","16958",
"Yeongdeok-gun","Institutional households[households]","households","23","22","11","23","25","24","20",
"Yeongdeok-gun","Foreigner household[households]","households","209","226","218","211","221","213","217",
"Yeongdeok-gun","Housing units-Total[Housing]","Housing","17887","17978","18094","18244","18232","18220","18172",
"Yeongdeok-gun","Detached dwelling[Housing]","Housing","14700","14666","14704","14724","14705","14641","14587",
"Yeongdeok-gun","Apartment[Housing]","Housing","1341","1397","1397","1499","1499","1499","1500",
"Yeongdeok-gun","Row house[Housing]","Housing","784","808","832","856","856","880","880",
"Yeongdeok-gun","Apartment unit ina private house[Housing]","Housing","677","717","725","725","726","742","744",
"Yeongdeok-gun","House within commercial building[Housing]","Housing","385","390","436","440","446","458","461",
"Yeongdeok-gun","Living quaters other than housing unit[Housing]","Housing","464","477","510","549","528","552","570",
"Cheongdo-gun","Total population[Person]","Person","41596","41612","41278","40878","41054","41378","40071",
"Cheongdo-gun","Male[Person]","Person","19840","19993","19885","19745","19891","20180","19376",
"Cheongdo-gun","Female[Person]","Person","21756","21619","21393","21133","21163","21198","20695",
"Cheongdo-gun","Korean - total[Person]","Person","40543","40447","40090","39449","39491","39980","38704",
"Cheongdo-gun","Korean - male[Person]","Person","19298","19397","19296","19067","19169","19567","18779",
"Cheongdo-gun","Korean - Female[Person]","Person","21245","21050","20794","20382","20322","20413","19925",
"Cheongdo-gun","Foreigner-Total[Person]","Person","1053","1165","1188","1429","1563","1398","1367",
"Cheongdo-gun","Foreigner-Male[Person]","Person","542","596","589","678","722","613","597",
"Cheongdo-gun","Foreigner-Female[Person]","Person","511","569","599","751","841","785","770",
"Cheongdo-gun","Household-Total[households]","households","18189","18360","18551","18621","18798","19004","19228",
"Cheongdo-gun","Type of occupancy[households]","households","17991","18170","18361","18438","18616","18821","19041",
"Cheongdo-gun","Institutional households[households]","households","37","31","37","38","37","38","36",
"Cheongdo-gun","Foreigner household[households]","households","161","159","153","145","145","145","151",
"Cheongdo-gun","Housing units-Total[Housing]","Housing","20265","20527","21014","21536","21688","21748","21785",
"Cheongdo-gun","Detached dwelling[Housing]","Housing","17395","17614","17918","18124","18134","18187","18235",
"Cheongdo-gun","Apartment[Housing]","Housing","1694","1755","1834","2142","2243","2243","2243",
"Cheongdo-gun","Row house[Housing]","Housing","274","274","351","351","362","362","362",
"Cheongdo-gun","Apartment unit ina private house[Housing]","Housing","628","626","642","646","668","668","651",
"Cheongdo-gun","House within commercial building[Housing]","Housing","274","258","269","273","281","288","294",
"Cheongdo-gun","Living quaters other than housing unit[Housing]","Housing","655","634","681","710","726","756","782",
"Goryeong-gun","Total population[Person]","Person","34117","33417","33094","32660","32191","31419","30399",
"Goryeong-gun","Male[Person]","Person","17588","17432","17236","17092","16961","16396","15899",
"Goryeong-gun","Female[Person]","Person","16529","15985","15858","15568","15230","15023","14500",
"Goryeong-gun","Korean - total[Person]","Person","31929","31231","30941","30388","29754","29264","28424",
"Goryeong-gun","Korean - male[Person]","Person","15898","15728","15536","15300","15038","14715","14368",
"Goryeong-gun","Korean - Female[Person]","Person","16031","15503","15405","15088","14716","14549","14056",
"Goryeong-gun","Foreigner-Total[Person]","Person","2188","2186","2153","2272","2437","2155","1975",
"Goryeong-gun","Foreigner-Male[Person]","Person","1690","1704","1700","1792","1923","1681","1531",
"Goryeong-gun","Foreigner-Female[Person]","Person","498","482","453","480","514","474","444",
"Goryeong-gun","Household-Total[households]","households","14023","13892","13933","13918","13873","13917","13983",
"Goryeong-gun","Type of occupancy[households]","households","13627","13476","13519","13506","13468","13498","13576",
"Goryeong-gun","Institutional households[households]","households","14","19","19","20","18","19","24",
"Goryeong-gun","Foreigner household[households]","households","382","397","395","392","387","400","383",
"Goryeong-gun","Housing units-Total[Housing]","Housing","13748","13736","13833","13739","13709","13785","13825",
"Goryeong-gun","Detached dwelling[Housing]","Housing","9116","9018","9083","8991","8959","8998","9009",
"Goryeong-gun","Apartment[Housing]","Housing","3759","3838","3867","3867","3867","3867","3896",
"Goryeong-gun","Row house[Housing]","Housing","183","183","183","183","183","183","183",
"Goryeong-gun","Apartment unit ina private house[Housing]","Housing","462","478","478","482","478","509","509",
"Goryeong-gun","House within commercial building[Housing]","Housing","228","219","222","216","222","228","228",
"Goryeong-gun","Living quaters other than housing unit[Housing]","Housing","736","818","860","889","890","916","918",
"Seongju-gun","Total population[Person]","Person","41179","41388","41225","41299","41314","41574","40804",
"Seongju-gun","Male[Person]","Person","20981","21337","21271","21388","21570","21716","21194",
"Seongju-gun","Female[Person]","Person","20198","20051","19954","19911","19744","19858","19610",
"Seongju-gun","Korean - total[Person]","Person","39363","39449","39264","39168","39005","39441","38830",
"Seongju-gun","Korean - male[Person]","Person","19679","19909","19824","19828","19857","20132","19729",
"Seongju-gun","Korean - Female[Person]","Person","19684","19540","19440","19340","19148","19309","19101",
"Seongju-gun","Foreigner-Total[Person]","Person","1816","1939","1961","2131","2309","2133","1974",
"Seongju-gun","Foreigner-Male[Person]","Person","1302","1428","1447","1560","1713","1584","1465",
"Seongju-gun","Foreigner-Female[Person]","Person","514","511","514","571","596","549","509",
"Seongju-gun","Household-Total[households]","households","17453","17761","17923","18126","18299","18713","18992",
"Seongju-gun","Type of occupancy[households]","households","17035","17324","17479","17677","17835","18255","18547",
"Seongju-gun","Institutional households[households]","households","29","23","25","29","28","30","31",
"Seongju-gun","Foreigner household[households]","households","389","414","419","420","436","428","414",
"Seongju-gun","Housing units-Total[Housing]","Housing","16406","16582","16679","16919","16926","17038","17162",
"Seongju-gun","Detached dwelling[Housing]","Housing","14316","14446","14518","14591","14592","14693","14810",
"Seongju-gun","Apartment[Housing]","Housing","1173","1200","1200","1360","1360","1360","1360",
"Seongju-gun","Row house[Housing]","Housing","296","296","296","295","295","295","295",
"Seongju-gun","Apartment unit ina private house[Housing]","Housing","305","337","345","345","345","345","346",
"Seongju-gun","House within commercial building[Housing]","Housing","316","303","320","328","334","345","351",
"Seongju-gun","Living quaters other than housing unit[Housing]","Housing","908","1041","1101","1155","1151","1187","1240",
"Chilgok-gun","Total population[Person]","Person","122462","122613","121778","120983","118517","115756","114564",
"Chilgok-gun","Male[Person]","Person","63739","63820","63665","63530","62074","60517","59705",
"Chilgok-gun","Female[Person]","Person","58723","58793","58113","57453","56443","55239","54859",
"Chilgok-gun","Korean - total[Person]","Person","117569","117603","116921","115638","113115","110985","110002",
"Chilgok-gun","Korean - male[Person]","Person","60309","60363","60325","59865","58378","57370","56770",
"Chilgok-gun","Korean - Female[Person]","Person","57260","57240","56596","55773","54737","53615","53232",
"Chilgok-gun","Foreigner-Total[Person]","Person","4893","5010","4857","5345","5402","4771","4562",
"Chilgok-gun","Foreigner-Male[Person]","Person","3430","3457","3340","3665","3696","3147","2935",
"Chilgok-gun","Foreigner-Female[Person]","Person","1463","1553","1517","1680","1706","1624","1627",
"Chilgok-gun","Household-Total[households]","households","47393","48110","48317","48391","47475","47953","49181",
