"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Gwangjin-gu","Korean - Female[Person]","Person","178371","176710","176702","175845","174288","172855","170058",
"Gwangjin-gu","Foreigner-Total[Person]","Person","17206","17503","18399","19729","20925","19982","18704",
"Gwangjin-gu","Foreigner-Male[Person]","Person","8025","8092","8323","9032","9474","8795","8132",
"Gwangjin-gu","Foreigner-Female[Person]","Person","9181","9411","10076","10697","11451","11187","10572",
"Gwangjin-gu","Household-Total[households]","households","155242","153844","155878","156764","158673","160944","162785",
"Gwangjin-gu","Type of occupancy[households]","households","147718","146196","147846","148735","149905","152090","153962",
"Gwangjin-gu","Institutional households[households]","households","84","77","90","87","87","78","71",
"Gwangjin-gu","Foreigner household[households]","households","7440","7571","7942","7942","8681","8776","8752",
"Gwangjin-gu","Housing units-Total[Housing]","Housing","79393","82691","84316","85638","89132","89832","91432",
"Gwangjin-gu","Detached dwelling[Housing]","Housing","17034","16566","16297","16002","15786","15332","15096",
"Gwangjin-gu","Apartment[Housing]","Housing","29880","30401","30301","30425","32089","32135","32571",
"Gwangjin-gu","Row house[Housing]","Housing","4434","4293","4249","4152","4068","4054","4119",
"Gwangjin-gu","Apartment unit ina private house[Housing]","Housing","26561","30003","31970","33565","35697","36858","38226",
"Gwangjin-gu","House within commercial building[Housing]","Housing","1484","1428","1499","1494","1492","1453","1420",
"Gwangjin-gu","Living quaters other than housing unit[Housing]","Housing","4721","4933","6121","6580","6931","8065","8880",
"Dongdaemun-gu","Total population[Person]","Person","364787","359935","357380","358141","355094","351057","348201",
"Dongdaemun-gu","Male[Person]","Person","181189","178285","176460","176323","174161","171484","169409",
"Dongdaemun-gu","Female[Person]","Person","183598","181650","180920","181818","180933","179573","178792",
"Dongdaemun-gu","Korean - total[Person]","Person","349957","343744","339438","338293","334045","331833","329092",
"Dongdaemun-gu","Korean - male[Person]","Person","174710","171397","168977","167999","165309","163507","161761",
"Dongdaemun-gu","Korean - Female[Person]","Person","175247","172347","170461","170294","168736","168326","167331",
"Dongdaemun-gu","Foreigner-Total[Person]","Person","14830","16191","17942","19848","21049","19224","19109",
"Dongdaemun-gu","Foreigner-Male[Person]","Person","6479","6888","7483","8324","8852","7977","7648",
"Dongdaemun-gu","Foreigner-Female[Person]","Person","8351","9303","10459","11524","12197","11247","11461",
"Dongdaemun-gu","Household-Total[households]","households","153362","152538","153187","155542","157662","158899","162315",
"Dongdaemun-gu","Type of occupancy[households]","households","146677","145179","145294","146974","148349","150373","153246",
"Dongdaemun-gu","Institutional households[households]","households","134","103","134","158","126","131","146",
"Dongdaemun-gu","Foreigner household[households]","households","6551","7256","7759","8410","9187","8395","8923",
"Dongdaemun-gu","Housing units-Total[Housing]","Housing","98203","96464","97891","100802","104821","103520","104287",
"Dongdaemun-gu","Detached dwelling[Housing]","Housing","20799","20325","19954","19484","18990","17120","16388",
"Dongdaemun-gu","Apartment[Housing]","Housing","59534","57350","58161","60386","64081","65033","66512",
"Dongdaemun-gu","Row house[Housing]","Housing","3740","3411","3251","3181","3280","3274","3287",
