"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"City area","35-39 Years old","Sex ratio","","99.54","","103.77","107.95","107.34","104.24","105.72","","","","",
"City area","40-44 Years old","Population[Person]","Person","353012","","600672","842681","1191769","1476361","1978781","","","","",
"City area","40-44 Years old","Male[Person]","Person","189361","","294799","424489","619723","762523","1027238","","","","",
"City area","40-44 Years old","Female[Person]","Person","163651","","305873","418192","572046","713838","951543","","","","",
"City area","40-44 Years old","Sex ratio","","115.71","","96.38","101.51","108.33","106.82","107.95","","","","",
"City area","45-49 Years old","Population[Person]","Person","277314","","490222","620732","901260","1263907","1577211","","","","",
"City area","45-49 Years old","Male[Person]","Person","145772","","248849","295755","450985","647474","816865","","","","",
"City area","45-49 Years old","Female[Person]","Person","131542","","241373","324977","450275","616433","760346","","","","",
"City area","45-49 Years old","Sex ratio","","110.82","","103.1","91.01","100.16","105.04","107.43","","","","",
"City area","50-54 Years old","Population[Person]","Person","404517","","352779","494286","628906","923794","1306193","","","","",
"City area","50-54 Years old","Male[Person]","Person","205521","","178233","241532","293962","451574","663386","","","","",
"City area","50-54 Years old","Female[Person]","Person","198996","","174546","252754","334944","472220","642807","","","","",
"City area","50-54 Years old","Sex ratio","","103.28","","102.11","95.56","87.76","95.63","103.2","","","","",
"City area","55-59 Years old","Population[Person]","Person","146342","","272184","352275","498050","651244","964816","","","","",
"City area","55-59 Years old","Male[Person]","Person","70043","","127762","166660","228780","288969","461084","","","","",
"City area","55-59 Years old","Female[Person]","Person","76299","","144422","185615","269270","362275","503732","","","","",
"City area","55-59 Years old","Sex ratio","","91.8","","88.46","89.79","84.96","79.77","91.53","","","","",
"City area","60-64 Years old","Population[Person]","Person","113484","","196771","262180","337629","489210","657031","","","","",
"City area","60-64 Years old","Male[Person]","Person","48115","","84813","112090","145301","206492","278106","","","","",
"City area","60-64 Years old","Female[Person]","Person","65369","","111958","150090","192328","282718","378925","","","","",
"City area","60-64 Years old","Sex ratio","","73.61","","75.75","74.68","75.55","73.04","73.39","","","","",
"City area","65-69 Years old","Population[Person]","Person","77748","","119286","183030","248349","337655","496316","","","","",
"City area","65-69 Years old","Male[Person]","Person","29776","","44372","70610","94195","133003","197780","","","","",
"City area","65-69 Years old","Female[Person]","Person","47972","","74914","112420","154154","204652","298536","","","","",
"City area","65-69 Years old","Sex ratio","","62.07","","59.23","62.81","61.1","64.99","66.25","","","","",
"City area","70-74 Years old","Population[Person]","Person","56106","","80544","103635","164056","231649","319718","","","","",
"City area","70-74 Years old","Male[Person]","Person","19116","","25994","33781","55454","78760","115765","","","","",
"City area","70-74 Years old","Female[Person]","Person","36990","","54550","69854","108602","152889","203953","","","","",
"City area","70-74 Years old","Sex ratio","","51.68","","47.65","48.36","51.06","51.51","56.76","","","","",
"City area","75-79 Years old","Population[Person]","Person","24133","","41308","59501","81909","137974","198426","","","","",
"City area","75-79 Years old","Male[Person]","Person","7639","","11526","16342","22766","41137","61242","","","","",
"City area","75-79 Years old","Female[Person]","Person","16494","","29782","43159","59143","96837","137184","","","","",
"City area","75-79 Years old","Sex ratio","","46.31","","38.7","37.86","38.49","42.48","44.64","","","","",
"City area","80-84 Years old","Population[Person]","Person","11391","","18718","24949","38293","57069","99176","","","","",
"City area","80-84 Years old","Male[Person]","Person","3393","","4531","5763","8495","13278","25875","","","","",
"City area","80-84 Years old","Female[Person]","Person","7998","","14187","19186","29798","43791","73301","","","","",
"City area","80-84 Years old","Sex ratio","","42.42","","31.94","30.04","28.51","30.32","35.3","","","","",
"City area","85 Years old & over","Population[Person]","Person","4194","","6282","10982","16294","28555","44934","","","","",
"City area","85 Years old & over","Male[Person]","Person","1090","","1374","2073","2784","4909","8297","","","","",
"City area","85 Years old & over","Female[Person]","Person","3104","","4908","8909","13510","23646","36637","","","","",
"City area","85 Years old & over","Sex ratio","","35.12","","28","23.27","20.61","20.76","22.65","","","","",
"City area","Age unknown","Population[Person]","Person","4198","","","6","4","322","79","","","","",
"City area","Age unknown","Male[Person]","Person","2080","","","6","3","302","41","","","","",
"City area","Age unknown","Female[Person]","Person","2118","","","","1","20","38","","","","",
"City area","Age unknown","Sex ratio","","98.21","","","","300","1510","107.89","","","","",
"Eup area","Total","Population[Person]","Person","2258713","","2850355","3720417","4536826","4814407","3602462","3480784","3742053","3922597","4149215",
"Eup area","Total","Male[Person]","Person","1131156","","1430702","1874848","2276333","2419709","1804027","1740064","1876875","1972126","2086063",
"Eup area","Total","Female[Person]","Person","1127557","","1419653","1845569","2260493","2394698","1798435","1740720","1865178","1950471","2063152",
"Eup area","Total","Sex ratio","","100.32","","100.78","101.59","100.7","101.04","100.31","99.96","100.63","101.11","101.1",
"Eup area","0-4 Years old","Population[Person]","Person","322513","","405786","470593","481062","464396","264730","272467","293584","238950","233244",
"Eup area","0-4 Years old","Male[Person]","Person","165396","","209819","243445","248261","240195","139009","144392","153681","124334","120523",
"Eup area","0-4 Years old","Female[Person]","Person","157117","","195967","227148","232801","224201","125721","128075","139903","114616","112721",
"Eup area","0-4 Years old","Sex ratio","","105.27","","107.07","107.17","106.64","107.13","110.57","112.74","109.85","108.48","106.9",
"Eup area","5-9 Years old","Population[Person]","Person","350388","","420025","502149","558026","491271","329787","248155","300105","306459","242350",
"Eup area","5-9 Years old","Male[Person]","Person","180750","","217060","259816","286565","251930","169246","129518","158859","159467","125883",
"Eup area","5-9 Years old","Female[Person]","Person","169638","","202965","242333","271461","239341","160541","118637","141246","146992","116467",
"Eup area","5-9 Years old","Sex ratio","","106.55","","106.94","107.21","105.56","105.26","105.42","109.17","112.47","108.49","108.1",
"Eup area","10-14 Years old","Population[Person]","Person","265711","","410998","504340","555069","544380","338456","289955","241889","286494","289816",
"Eup area","10-14 Years old","Male[Person]","Person","139156","","213411","260443","283288","276441","170574","146650","126254","150602","150362",
"Eup area","10-14 Years old","Female[Person]","Person","126555","","197587","243897","271781","267939","167882","143305","115635","135892","139454",
"Eup area","10-14 Years old","Sex ratio","","109.96","","108.01","106.78","104.23","103.17","101.6","102.33","109.18","110.82","107.8",
"Eup area","15-19 Years old","Population[Person]","Person","217458","","273194","424620","520633","511066","368672","301825","279099","233204","283791",
"Eup area","15-19 Years old","Male[Person]","Person","115323","","140717","219567","269452","266040","187036","151362","142450","122921","151364",
"Eup area","15-19 Years old","Female[Person]","Person","102135","","132477","205053","251181","245026","181636","150463","136649","110283","132427",
"Eup area","15-19 Years old","Sex ratio","","112.91","","106.22","107.08","107.27","108.58","102.97","100.6","104.25","111.46","114.3",
"Eup area","20-24 Years old","Population[Person]","Person","189619","","213780","308503","456312","468692","344105","298132","266853","239707","212646",
"Eup area","20-24 Years old","Male[Person]","Person","95578","","109465","161480","238734","256760","190737","164954","147004","135519","120757",
"Eup area","20-24 Years old","Female[Person]","Person","94041","","104315","147023","217578","211932","153368","133178","119849","104188","91889",
"Eup area","20-24 Years old","Sex ratio","","101.63","","104.94","109.83","109.72","121.15","124.37","123.86","122.66","130.07","131.4",
"Eup area","25-29 Years old","Population[Person]","Person","165541","","192997","253197","347738","456481","328455","286192","299038","255972","250451",
"Eup area","25-29 Years old","Male[Person]","Person","77235","","93020","126273","171998","226689","163596","142766","148471","129171","131234",
"Eup area","25-29 Years old","Female[Person]","Person","88306","","99977","126924","175740","229792","164859","143426","150567","126801","119217",
"Eup area","25-29 Years old","Sex ratio","","87.46","","93.04","99.49","97.87","98.65","99.23","99.54","98.61","101.87","110.1",
"Eup area","30-34 Years old","Population[Person]","Person","143692","","200401","233467","289876","352085","325197","319420","339659","344571","313402",
"Eup area","30-34 Years old","Male[Person]","Person","66073","","100612","116972","149262","182931","168167","164060","172178","172730","158551",
"Eup area","30-34 Years old","Female[Person]","Person","77619","","99789","116495","140614","169154","157030","155360","167481","171841","154851",
"Eup area","30-34 Years old","Sex ratio","","85.12","","100.82","100.41","106.15","108.14","107.09","105.6","102.8","100.52","102.4",
"Eup area","35-39 Years old","Population[Person]","Person","134071","","170282","237764","257743","281673","239389","299091","342134","355743","368334",
"Eup area","35-39 Years old","Male[Person]","Person","64785","","84538","121155","131187","149058","126232","158498","181246","186385","189986",
"Eup area","35-39 Years old","Female[Person]","Person","69286","","85744","116609","126556","132615","113157","140593","160888","169358","178348",
"Eup area","35-39 Years old","Sex ratio","","93.5","","98.59","103.9","103.66","112.4","111.55","112.74","112.65","110.05","106.5",
"Eup area","40-44 Years old","Population[Person]","Person","109788","","132991","193895","254141","241050","186399","211947","292640","329038","351960",
"Eup area","40-44 Years old","Male[Person]","Person","56330","","62971","96177","128712","121733","97474","111452","156879","175821","187295",
"Eup area","40-44 Years old","Female[Person]","Person","53458","","70020","97718","125429","119317","88925","100495","135761","153217","164665",
"Eup area","40-44 Years old","Sex ratio","","105.37","","89.93","98.42","102.62","102.02","109.61","110.9","115.56","114.75","113.7",
"Eup area","45-49 Years old","Population[Person]","Person","93120","","116288","150735","216414","249468","177575","177008","211087","294429","328305",
"Eup area","45-49 Years old","Male[Person]","Person","47323","","57045","70139","105946","122962","86961","90566","108556","154338","173048",
"Eup area","45-49 Years old","Female[Person]","Person","45797","","59243","80596","110468","126506","90614","86442","102531","140091","155257",
"Eup area","45-49 Years old","Sex ratio","","103.33","","96.29","87.03","95.91","97.2","95.97","104.77","105.88","110.17","111.5",
"Eup area","50-54 Years old","Population[Person]","Person","78180","","90898","129672","164390","212274","185666","167054","178221","218812","300407",
"Eup area","50-54 Years old","Male[Person]","Person","39935","","45537","62574","75229","100937","89279","80219","89246","110862","154086",
"Eup area","50-54 Years old","Female[Person]","Person","38245","","45361","67098","89161","111337","96387","86835","88975","107950","146321",
"Eup area","50-54 Years old","Sex ratio","","104.42","","100.39","93.26","84.37","90.66","92.63","92.38","100.3","102.7","105.3",
"Eup area","55-59 Years old","Population[Person]","Person","57224","","74265","102657","143721","165101","160637","178302","166848","185738","226460",
"Eup area","55-59 Years old","Male[Person]","Person","27607","","35940","50102","67159","72401","74612","83120","77973","91043","112421",
"Eup area","55-59 Years old","Female[Person]","Person","29617","","38325","52555","76562","92700","86025","95182","88875","94695","114039",
"Eup area","55-59 Years old","Sex ratio","","93.21","","93.78","95.33","87.72","78.1","86.73","87.33","87.73","96.14","98.6",
"Eup area","60-64 Years old","Population[Person]","Person","49265","","57485","79211","106149","136029","119388","150092","173143","170753","188393",
"Eup area","60-64 Years old","Male[Person]","Person","22223","","26161","36787","49329","59749","50797","66776","78089","77849","90660",
"Eup area","60-64 Years old","Female[Person]","Person","27042","","31324","42424","56820","76280","68591","83316","95054","92904","97733",
"Eup area","60-64 Years old","Sex ratio","","82.18","","83.52","86.71","86.82","78.33","74.06","80.15","82.15","83.8","92.8",
"Eup area","65-69 Years old","Population[Person]","Person","34931","","37764","58399","79428","98504","95814","108639","142513","171454","170581",
"Eup area","65-69 Years old","Male[Person]","Person","14950","","15640","24990","34309","42949","40760","43748","60624","74587","75525",
