"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Chungcheongnam-do","Age unknown","Female[Person]","Person","809","","","","","1","5","6","7","0","",
"Chungcheongnam-do","Age unknown","Sex ratio","","91.97","","","","","700","60","716.67","85.71","0","",
"Chungcheongnam-do","14 and under","Population[Person]","Person","","","","","","","","373455","367806","348332","327826",
"Chungcheongnam-do","14 and under","Male[Person]","Person","","","","","","","","193303","193171","181570","169519",
"Chungcheongnam-do","14 and under","Female[Person]","Person","","","","","","","","180152","174635","166762","158307",
"Chungcheongnam-do","14 and under","Sex ratio","","","","","","","","","107.3","110.61","108.88","107.1",
"Chungcheongnam-do","15 - 64 Years old","Population[Person]","Person","","","","","","","","1215814","1250654","1263286","1362166",
"Chungcheongnam-do","15 - 64 Years old","Male[Person]","Person","","","","","","","","624596","643644","655889","712837",
"Chungcheongnam-do","15 - 64 Years old","Female[Person]","Person","","","","","","","","591218","607010","607397","649329",
"Chungcheongnam-do","15 - 64 Years old","Sex ratio","","","","","","","","","105.65","106.04","107.98","109.8",
"Chungcheongnam-do","65 Years old","Population[Person]","Person","","","","","","","","175703","221937","267799","310481",
"Chungcheongnam-do","65 Years old","Male[Person]","Person","","","","","","","","69485","88165","108081","125098",
"Chungcheongnam-do","65 Years old","Female[Person]","Person","","","","","","","","106218","133772","159718","185383",
"Chungcheongnam-do","65 Years old","Sex ratio","","","","","","","","","65.42","65.91","67.67","67.5",
"Chungcheongnam-do","Mean age","Population[Person]","Person","","","","","","","","","36","37.84","39.5",
"Chungcheongnam-do","Mean age","Male[Person]","Person","","","","","","","","","34.3","36.28","38",
"Chungcheongnam-do","Mean age","Female[Person]","Person","","","","","","","","","37.7","39.42","41.1",
"Chungcheongnam-do","Mean age","Sex ratio","","","","","","","","","","","0","",
"Chungcheongnam-do","Median age","Population[Person]","Person","","","","","","","","","34.4","36.81","39",
"Chungcheongnam-do","Median age","Male[Person]","Person","","","","","","","","","32.6","35.29","37.6",
"Chungcheongnam-do","Median age","Female[Person]","Person","","","","","","","","","36.3","38.52","40.6",
"Chungcheongnam-do","Median age","Sex ratio","","","","","","","","","","","0","",
"Jeollabuk-do","Total","Population[Person]","Person","2395224","2521207","2431892","2455093","2286720","2201265","2069378","1900558","1887239","1778879","1766044",
"Jeollabuk-do","Total","Male[Person]","Person","1199703","1264543","1215203","1235908","1145252","1100510","1029993","941913","935330","874662","867630",
"Jeollabuk-do","Total","Female[Person]","Person","1195521","1256664","1216689","1219185","1141468","1100755","1039385","958645","951909","904217","898414",
"Jeollabuk-do","Total","Sex ratio","","100.35","100.63","99.88","101.37","100.33","99.98","99.1","98.25","98.26","96.73","96.6",
"Jeollabuk-do","0-4 Years old","Population[Person]","Person","349549","417628","361696","316930","225400","183482","131702","125674","123995","87770","77197",
"Jeollabuk-do","0-4 Years old","Male[Person]","Person","179748","215869","185529","163229","116017","94738","67945","65640","64514","45284","39946",
"Jeollabuk-do","0-4 Years old","Female[Person]","Person","169801","201759","176167","153701","109383","88744","63757","60034","59481","42486","37251",
"Jeollabuk-do","0-4 Years old","Sex ratio","","105.86","106.99","105.31","106.2","106.06","106.75","106.57","109.34","108.46","106.59","107.2",
"Jeollabuk-do","5-9 Years old","Population[Person]","Person","360338","411408","382024","351520","299656","225141","183892","123117","133886","121655","89553",
"Jeollabuk-do","5-9 Years old","Male[Person]","Person","186943","212017","197544","180012","153222","115483","94308","63363","69827","63083","46303",
"Jeollabuk-do","5-9 Years old","Female[Person]","Person","173395","199391","184480","171508","146434","109658","89584","59754","64059","58572","43250",
"Jeollabuk-do","5-9 Years old","Sex ratio","","107.81","106.33","107.08","104.96","104.64","105.31","105.27","106.04","109","107.7","107.1",
"Jeollabuk-do","10-14 Years old","Population[Person]","Person","298045","310166","358622","355508","320683","290358","217480","167250","124303","129117","121992",
"Jeollabuk-do","10-14 Years old","Male[Person]","Person","156689","160555","185189","184363","163950","147708","110307","84873","64102","66932","63081",
"Jeollabuk-do","10-14 Years old","Female[Person]","Person","141356","149611","173433","171145","156733","142650","107173","82377","60201","62185","58911",
"Jeollabuk-do","10-14 Years old","Sex ratio","","110.85","107.31","106.78","107.72","104.6","103.55","102.92","103.03","106.48","107.63","107.1",
"Jeollabuk-do","15-19 Years old","Population[Person]","Person","221336","240532","213495","269064","258986","257820","246289","184385","158984","120556","130831",
"Jeollabuk-do","15-19 Years old","Male[Person]","Person","117555","125533","111391","141756","138915","137336","126681","95130","83410","63371","69635",
"Jeollabuk-do","15-19 Years old","Female[Person]","Person","103781","114999","102104","127308","120071","120484","119608","89255","75574","57185","61196",
"Jeollabuk-do","15-19 Years old","Sex ratio","","113.27","109.16","109.1","111.35","115.69","113.99","105.91","106.58","110.37","110.82","113.8",
"Jeollabuk-do","20-24 Years old","Population[Person]","Person","202402","177561","177053","188370","208008","206490","202802","186716","157933","129527","104713",
"Jeollabuk-do","20-24 Years old","Male[Person]","Person","104162","94763","95765","104411","116111","118512","118370","105635","88283","72707","58354",
"Jeollabuk-do","20-24 Years old","Female[Person]","Person","98240","82798","81288","83959","91897","87978","84432","81081","69650","56820","46359",
"Jeollabuk-do","20-24 Years old","Sex ratio","","106.03","114.45","117.81","124.36","126.35","134.71","140.2","130.28","126.75","127.96","125.9",
"Jeollabuk-do","25-29 Years old","Population[Person]","Person","172423","169082","134006","150156","134911","163594","151144","138525","145461","110990","102874",
"Jeollabuk-do","25-29 Years old","Male[Person]","Person","81870","84839","67008","79162","67540","81604","76093","71048","74637","57148","53760",
"Jeollabuk-do","25-29 Years old","Female[Person]","Person","90553","84243","66998","70994","67371","81990","75051","67477","70824","53842","49114",
"Jeollabuk-do","25-29 Years old","Sex ratio","","90.41","100.71","100.01","111.51","100.25","99.53","101.39","105.29","105.38","106.14","109.5",
"Jeollabuk-do","30-34 Years old","Population[Person]","Person","142483","156925","143118","126819","126523","126629","149976","140296","138350","128407","109492",
"Jeollabuk-do","30-34 Years old","Male[Person]","Person","66606","76472","69727","63195","63973","63344","73926","70550","70634","64164","55153",
"Jeollabuk-do","30-34 Years old","Female[Person]","Person","75877","80453","73391","63624","62550","63285","76050","69746","67716","64243","54339",
"Jeollabuk-do","30-34 Years old","Sex ratio","","87.78","95.05","95.01","99.33","102.27","100.09","97.21","101.15","104.31","99.88","101.5",
"Jeollabuk-do","35-39 Years old","Population[Person]","Person","131663","130475","135671","137553","115522","123228","124377","145461","144973","131767","131138",
"Jeollabuk-do","35-39 Years old","Male[Person]","Person","64135","60981","64126","67276","56365","62277","62645","72525","73457","66528","65972",
"Jeollabuk-do","35-39 Years old","Female[Person]","Person","67528","69494","71545","70277","59157","60951","61732","72936","71516","65239","65166",
"Jeollabuk-do","35-39 Years old","Sex ratio","","94.98","87.75","89.63","95.73","95.28","102.18","101.48","99.44","102.71","101.98","101.2",
"Jeollabuk-do","40-44 Years old","Population[Person]","Person","112862","113283","115549","126964","125527","108830","117203","115364","142390","136821","135282",
"Jeollabuk-do","40-44 Years old","Male[Person]","Person","55632","55064","53746","60062","60770","53069","59747","58408","71267","68924","68929",
"Jeollabuk-do","40-44 Years old","Female[Person]","Person","57230","58219","61803","66902","64757","55761","57456","56956","71123","67897","66353",
"Jeollabuk-do","40-44 Years old","Sex ratio","","97.21","94.58","86.96","89.78","93.84","95.17","103.99","102.55","100.2","101.51","103.9",
"Jeollabuk-do","45-49 Years old","Population[Person]","Person","98388","98087","102220","105838","119456","119237","104725","110766","111753","135364","136916",
"Jeollabuk-do","45-49 Years old","Male[Person]","Person","48390","47885","49337","49043","55944","57027","50662","55908","55792","67105","69078",
"Jeollabuk-do","45-49 Years old","Female[Person]","Person","49998","50202","52883","56795","63512","62210","54063","54858","55961","68259","67838",
"Jeollabuk-do","45-49 Years old","Sex ratio","","96.78","95.38","93.29","86.35","88.08","91.67","93.71","101.91","99.7","98.31","101.8",
"Jeollabuk-do","50-54 Years old","Population[Person]","Person","83228","81895","86529","90761","95568","110120","110647","96543","105767","105658","133760",
"Jeollabuk-do","50-54 Years old","Male[Person]","Person","40832","39708","41740","43584","44008","50771","52362","45995","52558","52064","66229",
"Jeollabuk-do","50-54 Years old","Female[Person]","Person","42396","42187","44789","47177","51560","59349","58285","50548","53209","53594","67531",
"Jeollabuk-do","50-54 Years old","Sex ratio","","96.31","94.12","93.19","92.38","85.35","85.55","89.84","90.99","98.78","97.15","98.1",
"Jeollabuk-do","55-59 Years old","Population[Person]","Person","67034","69758","69712","75920","81609","88167","101781","102486","92234","101226","104671",
"Jeollabuk-do","55-59 Years old","Male[Person]","Person","31594","32580","32949","35655","38300","39435","46305","47396","43319","49350","51208",
"Jeollabuk-do","55-59 Years old","Female[Person]","Person","35440","37178","36763","40265","43309","48732","55476","55090","48915","51876","53463",
"Jeollabuk-do","55-59 Years old","Sex ratio","","89.15","87.63","89.63","88.55","88.43","80.92","83.47","86.03","88.56","95.13","95.8",
"Jeollabuk-do","60-64 Years old","Population[Person]","Person","58454","50783","56286","56974","63022","70135","78029","91358","95551","87136","98041",
"Jeollabuk-do","60-64 Years old","Male[Person]","Person","26385","22478","25432","25908","28633","31573","34006","40180","42819","39759","47024",
"Jeollabuk-do","60-64 Years old","Female[Person]","Person","32069","28305","30854","31066","34389","38562","44023","51178","52732","47377","51017",
"Jeollabuk-do","60-64 Years old","Sex ratio","","82.28","79.41","82.43","83.4","83.26","81.88","77.25","78.51","81.2","83.92","92.2",
"Jeollabuk-do","65-69 Years old","Population[Person]","Person","43703","42016","39123","44028","45368","52562","59941","67834","83699","88978","84196",
"Jeollabuk-do","65-69 Years old","Male[Person]","Person","18244","17133","16135","18546","19491","22554","25939","28156","35345","38423","37276",
"Jeollabuk-do","65-69 Years old","Female[Person]","Person","25459","24883","22988","25482","25877","30008","34002","39678","48354","50555","46920",
"Jeollabuk-do","65-69 Years old","Sex ratio","","71.66","68.85","70.19","72.78","75.32","75.16","76.29","70.96","73.1","76","79.4",
"Jeollabuk-do","70-74 Years old","Population[Person]","Person","29501","27488","29052","27942","32371","35240","41767","48501","58688","75026","82727",
"Jeollabuk-do","70-74 Years old","Male[Person]","Person","11850","10374","10735","10526","12327","13689","16619","19481","22897","30258","34173",
"Jeollabuk-do","70-74 Years old","Female[Person]","Person","17651","17114","18317","17416","20044","21551","25148","29020","35791","44768","48554",
"Jeollabuk-do","70-74 Years old","Sex ratio","","67.14","60.62","58.61","60.44","61.5","63.52","66.08","67.13","63.97","67.59","70.4",
"Jeollabuk-do","75-79 Years old","Population[Person]","Person","14232","16546","17800","18352","19113","22960","25769","30811","37665","47903","64990",
"Jeollabuk-do","75-79 Years old","Male[Person]","Person","5488","5914","5900","5988","6084","7444","8839","11033","13721","17412","24272",
"Jeollabuk-do","75-79 Years old","Female[Person]","Person","8744","10632","11900","12364","13029","15516","16930","19778","23944","30491","40718",
"Jeollabuk-do","75-79 Years old","Sex ratio","","62.76","55.62","49.58","48.43","46.7","47.98","52.21","55.78","57.3","57.11","59.6",
"Jeollabuk-do","80-84 Years old","Population[Person]","Person","6108","5520","7339","8700","10150","11170","14253","15926","20040","26108","36338",
"Jeollabuk-do","80-84 Years old","Male[Person]","Person","2267","1775","2268","2319","2633","2850","3816","4681","6176","8550","11746",
"Jeollabuk-do","80-84 Years old","Female[Person]","Person","3841","3745","5071","6381","7517","8320","10437","11245","13864","17558","24592",
"Jeollabuk-do","80-84 Years old","Sex ratio","","59.02","47.4","44.72","36.34","35.03","34.25","36.56","41.63","44.55","48.7","47.8",
"Jeollabuk-do","85 Years old & over","Population[Person]","Person","2088","2046","2597","3694","4847","6102","7580","9495","11487","14870","21333",
"Jeollabuk-do","85 Years old & over","Male[Person]","Person","656","596","682","873","969","1096","1412","1891","2514","3600","5491",
"Jeollabuk-do","85 Years old & over","Female[Person]","Person","1432","1450","1915","2821","3878","5006","6168","7604","8973","11270","15842",
"Jeollabuk-do","85 Years old & over","Sex ratio","","45.81","41.1","35.61","30.95","24.99","21.89","22.89","24.87","28.02","31.94","34.7",
"Jeollabuk-do","Age unknown","Population[Person]","Person","1387","8","","","","","21","50","80","0","",
"Jeollabuk-do","Age unknown","Male[Person]","Person","657","7","","","","","11","20","58","0","",
"Jeollabuk-do","Age unknown","Female[Person]","Person","730","1","","","","","10","30","22","0","",
"Jeollabuk-do","Age unknown","Sex ratio","","90","700","","","","","110","66.67","263.64","0","",
"Jeollabuk-do","14 and under","Population[Person]","Person","","","","","","","","416041","382184","338542","288742",
"Jeollabuk-do","14 and under","Male[Person]","Person","","","","","","","","213876","198443","175299","149330",
"Jeollabuk-do","14 and under","Female[Person]","Person","","","","","","","","202165","183741","163243","139412",
"Jeollabuk-do","14 and under","Sex ratio","","","","","","","","","105.79","108","107.39","107.1",
"Jeollabuk-do","15 - 64 Years old","Population[Person]","Person","","","","","","","","1311900","1293396","1187452","1187718",
"Jeollabuk-do","15 - 64 Years old","Male[Person]","Person","","","","","","","","662775","656176","601120","605342",
"Jeollabuk-do","15 - 64 Years old","Female[Person]","Person","","","","","","","","649125","637220","586332","582376",
"Jeollabuk-do","15 - 64 Years old","Sex ratio","","","","","","","","","102.1","102.97","102.52","103.9",
"Jeollabuk-do","65 Years old","Population[Person]","Person","","","","","","","","172567","211579","252885","289584",
"Jeollabuk-do","65 Years old","Male[Person]","Person","","","","","","","","65242","80653","98243","112958",
"Jeollabuk-do","65 Years old","Female[Person]","Person","","","","","","","","107325","130926","154642","176626",
"Jeollabuk-do","65 Years old","Sex ratio","","","","","","","","","60.79","61.6","63.53","64",
"Jeollabuk-do","Mean age","Population[Person]","Person","","","","","","","","","35.4","38.01","40.4",
"Jeollabuk-do","Mean age","Male[Person]","Person","","","","","","","","","33.6","36.17","38.5",
"Jeollabuk-do","Mean age","Female[Person]","Person","","","","","","","","","37.1","39.78","42.2",
"Jeollabuk-do","Mean age","Sex ratio","","","","","","","","","","","0","",
"Jeollabuk-do","Median age","Population[Person]","Person","","","","","","","","","33.5","37.28","40.5",
"Jeollabuk-do","Median age","Male[Person]","Person","","","","","","","","","31.6","35.34","38.7",
"Jeollabuk-do","Median age","Female[Person]","Person","","","","","","","","","35.6","39.35","42.4",
"Jeollabuk-do","Median age","Sex ratio","","","","","","","","","","","0","",
"Jeollanam-do","Total","Population[Person]","Person","3553041","4048769","4004832","3982752","3778777","3747506","2506944","2066109","1994287","1815174","1728749",
"Jeollanam-do","Total","Male[Person]","Person","1776282","2045746","2012399","2018409","1902079","1886986","1266346","1023406","987463","889805","845952",
"Jeollanam-do","Total","Female[Person]","Person","1776759","2003023","1992433","1964343","1876698","1860520","1240598","1042703","1006824","925369","882797",
"Jeollanam-do","Total","Sex ratio","","99.97","102.13","101","102.75","101.35","101.42","102.08","98.15","98.08","96.16","95.8",
"Jeollanam-do","0-4 Years old","Population[Person]","Person","502441","670374","596914","501887","378788","322866","155997","133384","129575","86827","73548",
"Jeollanam-do","0-4 Years old","Male[Person]","Person","257353","347220","307245","259040","195368","167201","80800","69802","67590","45133","37787",
"Jeollanam-do","0-4 Years old","Female[Person]","Person","245088","323154","289669","242847","183420","155665","75197","63582","61985","41694","35761",
"Jeollanam-do","0-4 Years old","Sex ratio","","105","107.45","106.07","106.67","106.51","107.41","107.45","109.78","109.04","108.25","105.7",
"Jeollanam-do","5-9 Years old","Population[Person]","Person","527370","656805","633390","593018","501123","391232","225123","131477","138939","123901","84525",
"Jeollanam-do","5-9 Years old","Male[Person]","Person","274426","341125","328270","305681","257337","200772","115038","67497","72749","64161","43872",
"Jeollanam-do","5-9 Years old","Female[Person]","Person","252944","315680","305120","287337","243786","190460","110085","63980","66190","59740","40653",
"Jeollanam-do","5-9 Years old","Sex ratio","","108.49","108.06","107.59","106.38","105.56","105.41","104.5","105.5","109.91","107.4","107.9",
"Jeollanam-do","10-14 Years old","Population[Person]","Person","448455","492616","585278","591896","551772","497178","267088","183221","126884","128072","118040",
"Jeollanam-do","10-14 Years old","Male[Person]","Person","235914","257269","305338","308809","284051","254049","134503","92518","65548","66532","61164",
"Jeollanam-do","10-14 Years old","Female[Person]","Person","212541","235347","279940","283087","267721","243129","132585","90703","61336","61540","56876",
"Jeollanam-do","10-14 Years old","Sex ratio","","111","109.31","109.07","109.09","106.1","104.49","101.45","102","106.87","108.11","107.5",
"Jeollanam-do","15-19 Years old","Population[Person]","Person","343457","393849","351254","420590","409499","444936","277204","189399","156791","107959","115014",
"Jeollanam-do","15-19 Years old","Male[Person]","Person","181644","207002","183660","226397","221800","241181","144466","98306","82412","56896","61450",
"Jeollanam-do","15-19 Years old","Female[Person]","Person","161813","186847","167594","194193","187699","203755","132738","91093","74379","51063","53564",
"Jeollanam-do","15-19 Years old","Sex ratio","","112.26","110.79","109.59","116.58","118.17","118.37","108.84","107.92","110.8","111.42","114.7",
"Jeollanam-do","20-24 Years old","Population[Person]","Person","302763","297307","289951","293854","329856","347838","244706","170603","144068","106166","74938",
"Jeollanam-do","20-24 Years old","Male[Person]","Person","158479","164528","158541","167151","187583","202536","153027","103144","85769","63196","43959",
"Jeollanam-do","20-24 Years old","Female[Person]","Person","144284","132779","131410","126703","142273","145302","91679","67459","58299","42970","30979",
"Jeollanam-do","20-24 Years old","Sex ratio","","109.84","123.91","120.65","131.92","131.85","139.39","166.92","152.9","147.12","147.07","141.9",
"Jeollanam-do","25-29 Years old","Population[Person]","Person","248640","284701","233284","237898","222552","280975","187665","139392","133734","96629","85461",
"Jeollanam-do","25-29 Years old","Male[Person]","Person","118864","143740","117913","124391","111264","140625","99320","72832","69650","49679","45280",
"Jeollanam-do","25-29 Years old","Female[Person]","Person","129776","140961","115371","113507","111288","140350","88345","66560","64084","46950","40181",
"Jeollanam-do","25-29 Years old","Sex ratio","","91.59","101.97","102.2","109.59","99.98","100.2","112.42","109.42","108.69","105.81","112.7",
"Jeollanam-do","30-34 Years old","Population[Person]","Person","215229","246516","247928","214196","208744","217838","176219","146810","141905","119889","98140",
"Jeollanam-do","30-34 Years old","Male[Person]","Person","101304","122436","123111","107497","105768","109832","90487","74678","74036","60755","50228",
"Jeollanam-do","30-34 Years old","Female[Person]","Person","113925","124080","124817","106699","102976","108006","85732","72132","67869","59134","47912",
"Jeollanam-do","30-34 Years old","Sex ratio","","88.92","98.68","98.63","100.75","102.71","101.69","105.55","103.53","109.09","102.74","104.8",
"Jeollanam-do","35-39 Years old","Population[Person]","Person","195600","207729","222221","233670","198366","209269","141668","149235","148073","132025","119167",
"Jeollanam-do","35-39 Years old","Male[Person]","Person","93951","98137","107780","115850","97929","106481","73073","75628","76646","68605","61336",
"Jeollanam-do","35-39 Years old","Female[Person]","Person","101649","109592","114441","117820","100437","102788","68595","73607","71427","63420","57831",
"Jeollanam-do","35-39 Years old","Sex ratio","","92.43","89.55","94.18","98.33","97.5","103.59","106.53","102.75","107.31","108.18","106.1",
"Jeollanam-do","40-44 Years old","Population[Person]","Person","156404","179349","186606","206696","216412","190310","132644","119175","143198","136444","129597",
"Jeollanam-do","40-44 Years old","Male[Person]","Person","75917","86727","87233","99839","107275","94387","68618","61141","73340","70992","68245",
"Jeollanam-do","40-44 Years old","Female[Person]","Person","80487","92622","99373","106857","109137","95923","64026","58034","69858","65452","61352",
"Jeollanam-do","40-44 Years old","Sex ratio","","94.32","93.64","87.78","93.43","98.29","98.4","107.17","105.35","104.98","108.46","111.2",
"Jeollanam-do","45-49 Years old","Population[Person]","Person","134379","144205","163798","169583","195359","206531","130596","118394","114708","134776","133735",
"Jeollanam-do","45-49 Years old","Male[Person]","Person","64272","69831","78519","78496","93079","100679","63438","59696","57536","68159","69084",
"Jeollanam-do","45-49 Years old","Female[Person]","Person","70107","74374","85279","91087","102280","105852","67158","58698","57172","66617","64651",
"Jeollanam-do","45-49 Years old","Sex ratio","","91.68","93.89","92.07","86.18","91","95.11","94.46","101.7","100.64","102.31","106.9",
"Jeollanam-do","50-54 Years old","Population[Person]","Person","120087","119771","126572","145331","154305","179665","145877","115897","112974","109533","132614",
"Jeollanam-do","50-54 Years old","Male[Person]","Person","57718","56591","60709","68929","70928","84047","69214","54791","56156","54588","66675",
"Jeollanam-do","50-54 Years old","Female[Person]","Person","62369","63180","65863","76402","83377","95618","76663","61106","56818","54945","65939",
"Jeollanam-do","50-54 Years old","Sex ratio","","92.54","89.57","92.17","90.22","85.07","87.9","90.28","89.67","98.83","99.35","101.1",
"Jeollanam-do","55-59 Years old","Population[Person]","Person","100984","106907","106456","109722","131159","141894","130157","132485","109766","108461","107133",
"Jeollanam-do","55-59 Years old","Male[Person]","Person","47200","49177","49045","51563","60564","62786","59080","60929","50702","52830","52726",
"Jeollanam-do","55-59 Years old","Female[Person]","Person","53784","57730","57411","58159","70595","79108","71077","71556","59064","55631","54407",
"Jeollanam-do","55-59 Years old","Sex ratio","","87.76","85.18","85.43","88.66","85.79","79.37","83.12","85.15","85.84","94.97","96.9",
"Jeollanam-do","60-64 Years old","Population[Person]","Person","92591","83589","89369","88125","92974","113325","100120","115738","122963","103742","103877",
"Jeollanam-do","60-64 Years old","Male[Person]","Person","41429","37015","39590","39173","42198","49704","43263","50461","54547","46778","49694",
"Jeollanam-do","60-64 Years old","Female[Person]","Person","51162","46574","49779","48952","50776","63621","56857","65277","68416","56964","54183",
"Jeollanam-do","60-64 Years old","Sex ratio","","80.98","79.48","79.53","80.02","83.11","78.13","76.09","77.3","79.73","82.12","91.7",
"Jeollanam-do","65-69 Years old","Population[Person]","Person","70653","71772","65859","70116","70813","77641","78282","86077","105756","113516","98508",
"Jeollanam-do","65-69 Years old","Male[Person]","Person","30061","29810","27166","29038","29231","32763","33329","35120","43830","48527","43161",
"Jeollanam-do","65-69 Years old","Female[Person]","Person","40592","41962","38693","41078","41582","44878","44953","50957","61926","64989","55347",
"Jeollanam-do","65-69 Years old","Sex ratio","","74.06","71.04","70.21","70.69","70.3","73","74.14","68.92","70.78","74.67","78",
"Jeollanam-do","70-74 Years old","Population[Person]","Person","51786","46259","52317","47888","53273","55618","49543","63830","75140","93327","103309",
"Jeollanam-do","70-74 Years old","Male[Person]","Person","21235","18292","20382","18156","19668","20602","20027","25264","28714","36683","42200",
"Jeollanam-do","70-74 Years old","Female[Person]","Person","30551","27967","31935","29732","33605","35016","29516","38566","46426","56644","61109",
"Jeollanam-do","70-74 Years old","Sex ratio","","69.51","65.41","63.82","61.07","58.53","58.84","67.85","65.51","61.85","64.76","69.1",
"Jeollanam-do","75-79 Years old","Population[Person]","Person","23413","31009","32170","33624","33872","38000","32892","36777","50223","60965","78558",
"Jeollanam-do","75-79 Years old","Male[Person]","Person","9382","11429","11167","11427","10676","11946","11227","13269","17709","21352","28260",
"Jeollanam-do","75-79 Years old","Female[Person]","Person","14031","19580","21003","22197","23196","26054","21665","23508","32514","39613","50298",
"Jeollanam-do","75-79 Years old","Sex ratio","","66.87","58.37","53.17","51.48","46.03","45.85","51.82","56.44","54.47","53.9","56.2",
"Jeollanam-do","80-84 Years old","Population[Person]","Person","12429","10770","15399","16415","19934","20211","19257","20649","24034","34540","45139",
"Jeollanam-do","80-84 Years old","Male[Person]","Person","4686","3741","4885","4853","5257","4998","5180","5736","7350","10613","14065",
"Jeollanam-do","80-84 Years old","Female[Person]","Person","7743","7029","10514","11562","14677","15213","14077","14913","16684","23927","31074",
"Jeollanam-do","80-84 Years old","Sex ratio","","60.52","53.22","46.46","41.97","35.82","32.85","36.8","38.46","44.05","44.36","45.3",
"Jeollanam-do","85 Years old & over","Population[Person]","Person","4308","5230","6066","8243","9976","12179","11889","13555","15555","18402","27446",
"Jeollanam-do","85 Years old & over","Male[Person]","Person","1479","1665","1845","2119","2103","2397","2254","2587","3179","4326","6766",
"Jeollanam-do","85 Years old & over","Female[Person]","Person","2829","3565","4221","6124","7873","9782","9635","10968","12376","14076","20680",
"Jeollanam-do","85 Years old & over","Sex ratio","","52.28","46.7","43.71","34.6","26.71","24.5","23.39","23.59","25.69","30.73","32.7",
"Jeollanam-do","Age unknown","Population[Person]","Person","2052","11","","","","","17","11","1","0","",
"Jeollanam-do","Age unknown","Male[Person]","Person","968","11","","","","","2","7","0","0","",
"Jeollanam-do","Age unknown","Female[Person]","Person","1084","","","","","","15","4","1","0","",
"Jeollanam-do","Age unknown","Sex ratio","","89.3","","","","","","13.33","175","0","0","",
"Jeollanam-do","14 and under","Population[Person]","Person","","","","","","","","448082","395398","338800","276113",
"Jeollanam-do","14 and under","Male[Person]","Person","","","","","","","","229817","205887","175826","142823",
"Jeollanam-do","14 and under","Female[Person]","Person","","","","","","","","218265","189511","162974","133290",
"Jeollanam-do","14 and under","Sex ratio","","","","","","","","","105.29","108.64","107.89","107.2",
"Jeollanam-do","15 - 64 Years old","Population[Person]","Person","","","","","","","","1397128","1328180","1155624","1099676",
"Jeollanam-do","15 - 64 Years old","Male[Person]","Person","","","","","","","","711606","680794","592478","568677",
"Jeollanam-do","15 - 64 Years old","Female[Person]","Person","","","","","","","","685522","647386","563146","530999",
"Jeollanam-do","15 - 64 Years old","Sex ratio","","","","","","","","","103.8","105.16","105.21","107.1",
"Jeollanam-do","65 Years old","Population[Person]","Person","","","","","","","","220888","270708","320750","352960",
"Jeollanam-do","65 Years old","Male[Person]","Person","","","","","","","","81976","100782","121501","134452",
"Jeollanam-do","65 Years old","Female[Person]","Person","","","","","","","","138912","169926","199249","218508",
"Jeollanam-do","65 Years old","Sex ratio","","","","","","","","","59.01","59.31","60.98","61.5",
"Jeollanam-do","Mean age","Population[Person]","Person","","","","","","","","","37.1","40.12","42.7",
"Jeollanam-do","Mean age","Male[Person]","Person","","","","","","","","","34.9","37.84","40.4",
"Jeollanam-do","Mean age","Female[Person]","Person","","","","","","","","","39.3","42.31","44.9",
"Jeollanam-do","Mean age","Sex ratio","","","","","","","","","","","0","",
"Jeollanam-do","Median age","Population[Person]","Person","","","","","","","","","35.9","40.23","43.6",
"Jeollanam-do","Median age","Male[Person]","Person","","","","","","","","","33.4","37.82","41.3",
"Jeollanam-do","Median age","Female[Person]","Person","","","","","","","","","38.5","42.85","46.3",
"Jeollanam-do","Median age","Sex ratio","","","","","","","","","","","0","",
"Gyeongsangbuk-do","Total","Population[Person]","Person","3848424","4472895","4555866","4855852","4952012","3010001","2860109","2672498","2716218","2594719","2575370",
"Gyeongsangbuk-do","Total","Male[Person]","Person","1933718","2251935","2282946","2446494","2481997","1512362","1430043","1333759","1357358","1292673","1281510",
"Gyeongsangbuk-do","Total","Female[Person]","Person","1914706","2220960","2272920","2409358","2470015","1497639","1430066","1338739","1358860","1302046","1293860",
"Gyeongsangbuk-do","Total","Sex ratio","","100.99","101.39","100.44","101.54","100.49","100.98","100","99.63","99.89","99.28","99",
"Gyeongsangbuk-do","0-4 Years old","Population[Person]","Person","538181","686652","614037","562036","473549","253576","185306","180568","173868","121880","109013",
"Gyeongsangbuk-do","0-4 Years old","Male[Person]","Person","277011","356631","318862","292825","246241","132247","101707","98972","92426","64246","56382",
"Gyeongsangbuk-do","0-4 Years old","Female[Person]","Person","261170","330021","295175","269211","227308","121329","83599","81596","81442","57634","52631",
"Gyeongsangbuk-do","0-4 Years old","Sex ratio","","106.07","108.06","108.02","108.77","108.33","109","121.66","121.3","113.49","111.47","107.1",
"Gyeongsangbuk-do","5-9 Years old","Population[Person]","Person","581155","701970","665714","625993","567068","288082","240433","174500","185787","164844","118013",
"Gyeongsangbuk-do","5-9 Years old","Male[Person]","Person","302128","365908","346182","325081","293956","148087","124402","95079","101540","86999","62075",
"Gyeongsangbuk-do","5-9 Years old","Female[Person]","Person","279027","336062","319532","300912","273112","139995","116031","79421","84247","77845","55938",
